rank,id,sideMode,trainScore,robustnessPass,trainTotalReturnPct,trainMaxDrawdownPct,trainSharpe,trainProfitFactor,trainTrades,testTotalReturnPct,testMaxDrawdownPct,testSharpe,testProfitFactor,testTrades,fullTotalReturnPct,fullMaxDrawdownPct,fullSharpe,fullProfitFactor,fullTrades,fullColdTrades,fullColdTotalReturnPct,fullWarmTrades,fullWarmTotalReturnPct,coldMaxWeightedAnomalyF,coldMinCoveragePct,coldMinExtremeCount,warmMinWeightedAnomalyF,warmMinCoveragePct,warmMinExtremeCount
63,combined-coldA-10-coldC0p7-coldE8-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-10,0.7,8,10,0.6,0
64,combined-coldA-10-coldC0p7-coldE12-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-10,0.7,12,10,0.6,0
65,combined-coldA-10-coldC0p85-coldE0-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,7.27,-20.75,0.58,1.41,9,-6.23,-35.34,0.01,1,18,2,-1.01,16,-5.28,-10,0.85,0,10,0.6,0
66,combined-coldA-10-coldC0p85-coldE4-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,7.27,-20.75,0.58,1.41,9,-6.23,-35.34,0.01,1,18,2,-1.01,16,-5.28,-10,0.85,4,10,0.6,0
67,combined-coldA-10-coldC0p85-coldE8-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-10,0.85,8,10,0.6,0
68,combined-coldA-10-coldC0p85-coldE12-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-10,0.85,12,10,0.6,0
69,combined-coldA-10-coldC1-coldE0-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-10,1,0,10,0.6,0
70,combined-coldA-10-coldC1-coldE4-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-10,1,4,10,0.6,0
71,combined-coldA-10-coldC1-coldE8-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-10,1,8,10,0.6,0
72,combined-coldA-10-coldC1-coldE12-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,8.9,-7.46,0.9,1.86,8,-4.81,-21.76,-0.04,0.96,17,0,0,17,-4.81,-10,1,12,10,0.6,0
73,combined-coldA-12-coldC0p55-coldE8-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-12,0.55,8,10,0.6,0
74,combined-coldA-12-coldC0p55-coldE12-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-12,0.55,12,10,0.6,0
75,combined-coldA-12-coldC0p7-coldE8-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-12,0.7,8,10,0.6,0
76,combined-coldA-12-coldC0p7-coldE12-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-12,0.7,12,10,0.6,0
77,combined-coldA-12-coldC0p85-coldE0-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,7.27,-20.75,0.58,1.41,9,-6.23,-35.34,0.01,1,18,2,-1.01,16,-5.28,-12,0.85,0,10,0.6,0
78,combined-coldA-12-coldC0p85-coldE4-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,7.27,-20.75,0.58,1.41,9,-6.23,-35.34,0.01,1,18,2,-1.01,16,-5.28,-12,0.85,4,10,0.6,0
79,combined-coldA-12-coldC0p85-coldE8-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-12,0.85,8,10,0.6,0
80,combined-coldA-12-coldC0p85-coldE12-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-12,0.85,12,10,0.6,0
81,combined-coldA-12-coldC1-coldE0-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-12,1,0,10,0.6,0
82,combined-coldA-12-coldC1-coldE4-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-12,1,4,10,0.6,0
83,combined-coldA-12-coldC1-coldE8-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-12,1,8,10,0.6,0
84,combined-coldA-12-coldC1-coldE12-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,8.9,-7.46,0.9,1.86,8,-4.81,-21.76,-0.04,0.96,17,0,0,17,-4.81,-12,1,12,10,0.6,0
85,combined-coldA-14-coldC0p55-coldE0-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,7.27,-20.75,0.58,1.41,9,-6.23,-35.34,0.01,1,18,2,-1.01,16,-5.28,-14,0.55,0,10,0.6,0
86,combined-coldA-14-coldC0p55-coldE4-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,7.27,-20.75,0.58,1.41,9,-6.23,-35.34,0.01,1,18,2,-1.01,16,-5.28,-14,0.55,4,10,0.6,0
87,combined-coldA-14-coldC0p55-coldE8-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-14,0.55,8,10,0.6,0
88,combined-coldA-14-coldC0p55-coldE12-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-14,0.55,12,10,0.6,0
